slug,name,origin,rating,roaster,aroma,acid_or_milk,body,flavor,aftertaste,desc_1,desc_2,desc_3,label
https://www.coffeereview.com/review/ethiopia-reko-yirgacheffe-3/,Ethiopia Reko Yirgacheffe,"Yirgacheffe growing region, southern Ethiopia",94,Temple Coffee,9.0,9.0,9.0,9.0,8.0,"Rich-toned, deeply floral. White peach, tea rose, cocoa nib, pink grapefruit zest, cedar in aroma and cup. Sweetly tart with high-toned acidity; satiny-smooth mouthfeel. Cocoa nib and tea rose characterize the quiet, confident finish.","Produced by the Reko Farming Cooperative from selections of indigenous landrace tree varieties long grown in the Yirgacheffe region and processed by the traditional washed method (fruit skin and pulp are removed before drying). Temple Coffee is a quality-focused retail and wholesale specialty roaster active in Sacramento, California since 2005. Committed to sourcing, roasting and brewing the finest coffees, Temple features coffee from distinguished single estates and cooperatives around the world. Visit www.templecoffee.com or call 916-454-1282 for more information.","A classic washed Yirgacheffe cup driven by notes of stone fruit, cocoa, and bittersweet citrus.Click here for more information about coffees from Ethiopia.","9.0,9.0,9.0,9.0,8.0"
https://www.coffeereview.com/review/double-anaerobic-fermentation-tamiru-tadesse/,Double-Anaerobic Fermentation Tamiru Tadesse,"Sidamo growing region, south-central Ethiopia",94,Genesis Coffee Lab,9.0,9.0,9.0,9.0,8.0,"Richly floral-toned, crisply sweet. Honeysuckle, lime zest, cocoa nib, marjoram, cedar in aroma and cup. Brightly sweet structure with juicy acidity; full, syrupy mouthfeel. The finish consolidates to notes of honeysuckle and lime.","Produced by Tamiru Tadesse of Alo Coffee. Southern Ethiopia coffees like this one are largely produced from selections of distinctive indigenous Ethiopian landrace varieties of Arabica long grown in the region. Processed by the anaerobic washed method, in which the fermentation step occurs in a hermetically sealed vessel before the beans are washed and dried. Genesis Coffee Lab specializes in developing relationships with and importing coffees from specialty coffee producers in Ethiopia. Visit www.genesiscoffeelab.com for more information.","A floral-driven anaerobic Ethiopia cup free of the sensory distractions often associated with the anaerobic processing method. This anaerobic is clean, crisp, richly sweet with tart undertones.Click here for more information about coffees from Ethiopia.","9.0,9.0,9.0,9.0,8.0"
https://www.coffeereview.com/review/ethiopia-chelbesa-danche-yirgacheffe/,Ethiopia Chelbesa Danche Yirgacheffe,"Chelchele, Gedeb District, Gedeo Zone, Ethiopia",94,Jaunt Coffee Roasters,9.0,9.0,9.0,9.0,8.0,"Elegantly sweet, floral-toned. Lilac, almond, pink peppercorn, apricot, nougat in aroma and cup. Balanced, sweetly tart structure with juicy acidity; syrupy, viscous mouthfeel. The finish consolidates to notes of sweet almond and pink peppercorn.",Produced by the METAD farm and mill in southern Ethiopia. Southern Ethiopia produces distinctive coffees from selections of traditional landrace varieties of Arabica long grown in the region. Coffees like this one processed by the wet or washed method (fruit skin and pulp is removed before drying) typically express great aromatic complexity and intensity with a particular emphasis on citrus and floral notes. Jaunt Coffee Roasters is a San Diego-based roaster and café with an extensive coffee and food menu. Visit www.jauntcoffee.com for more information.,"A brightly sweet, fragrantly floral-driven washed Ethiopia cup complicated by notes of almond and pink peppercorn.Click here for more information about coffees from Ethiopia.","9.0,9.0,9.0,9.0,8.0"
https://www.coffeereview.com/review/ethiopia-honey-process-tamiru-tadesse/,Ethiopia Honey Process Tamiru Tadesse,"Sidamo growing region, south-central Ethiopia",94,Genesis Coffee Lab,9.0,9.0,9.0,9.0,8.0,"Delicately fruit-toned, tisane-like. Dried strawberry, baking chocolate, lemon verbena, maple syrup, cashew butter in aroma and cup. Sweetly tart structure with gently bright acidity; silky mouthfeel. Pleasing, quietly berry-toned finish.","Produced by Tamiru Tadesse of Alo Coffee. Southern Ethiopia coffees like this one are largely produced from selections of distinctive indigenous Ethiopian landrace varieties of Arabica long grown in the region. Processed by the honey method, in which the fruit skins are removed, but some of the fruit flesh is left to dry on the beans. Genesis Coffee Lab specializes in developing relationships with and importing coffees from specialty coffee producers in Ethiopia. Visit www.genesiscoffeelab.com for more information.","A delicate, elegant, honey-processed Sidamo cup with leading notes of dried berry and herby citrus notes.Click here for more information about coffees from Ethiopia.","9.0,9.0,9.0,9.0,8.0"
https://www.coffeereview.com/review/colombia-planadas-tolima-2/,Colombia Planadas Tolima,"Tolima, Colombia",93,Jaunt Coffee Roasters,9.0,9.0,8.0,9.0,8.0,"Delicate, richly aromatic. Pineapple, almond nougat, magnolia, myrrh, bergamot in aroma and cup. Richly bittersweet structure with high-toned acidity; smooth, syrupy mouthfeel. Gentle, crisply sweet finish with notes of almond and myrrh.","Produced by Jorge Elias Rojas entirely of the Geisha variety of Arabica, and processed by the honey method, in which the skins are removed from the fruit but some of the fruit flesh (mucilage) is allowed to dry on the beans. Jaunt Coffee Roasters is a San Diego-based roaster and café with an extensive coffee and food menu. Visit www.jauntcoffee.com for more information.","A lovely Colombia Geisha cup, finely tea-like in its aromatic delicacy.","9.0,9.0,8.0,9.0,8.0"
https://www.coffeereview.com/review/kenya-kiambu-2/,Kenya Kiambu,"Kiambu growing region, south-central Kenya",93,Jaunt Coffee Roasters,9.0,9.0,8.0,9.0,8.0,"Sweetly savory, deep-toned. Black currant, tomato leaf, tangerine, amber, jasmine in aroma and cup. Bright, savorly-leaning structure with sparkling acidity; crisp, lightly satiny mouthfeel. The rich finish centers around notes of black currant and tangerine.","Produced by the Kariruki family entirely of the celebrated SL28 variety of Arabica, and processed by the traditional washed method (fruit skin and pulp are removed before drying). Jaunt Coffee Roasters is a San Diego-based roaster and café with an extensive coffee and food menu. Visit www.jauntcoffee.com for more information.","A savory-sweet Kenya cup with classic notes of black currant and tomato leaf — and especially complex, appealing acidity.Click here for more information about coffees from Kenya.","9.0,9.0,8.0,9.0,8.0"
https://www.coffeereview.com/review/guatemala-david-solano-single-origin-espresso/,Guatemala David Solano Single-Origin Espresso,"Chimaltenango, Guatemala",93,Temple Coffee,8.0,9.0,9.0,9.0,8.0,"Sweetly tart, deeply chocolaty. Dark chocolate, pomegranate, nutmeg, lemon-thyme, cedar in aroma and small cup. Syrupy-smooth mouthfeel; chocolaty finish with tart pomegranate undertones. In three parts milk, tart fruit and crisp chocolate mingle.","Produced by David Solano of Concepción Buena Vista Farm, from trees of the Red Caturra and Red Bourbon varieties of Arabica, and processed by the natural method (dried in the whole fruit). Temple Coffee is a quality-focused retail and wholesale specialty roaster active in Sacramento, California since 2005. Committed to sourcing, roasting and brewing the finest coffees, Temple features coffee from distinguished single estates and cooperatives around the world. Visit www.templecoffee.com or call 916-454-1282 for more information.","A nuanced, multi-layered, balanced Guatemala single-origin espresso, chocolaty and fruit-toned in both the straight shot and in cappuccino-scaled milk.","8.0,9.0,9.0,9.0,8.0"
https://www.coffeereview.com/review/ethiopia-chelechele-yirgacheffe/,Ethiopia Chelechele Yirgacheffe,"Gedeb District, Gedeo Zone, southern Ethiopia",93,Jaunt Coffee Roasters,9.0,8.0,9.0,9.0,8.0,"Richly sweet, berry-toned. Blueberry pie, baking chocolate, lemon-thyme, agave syrup, cedar in aroma and cup. Sweet structure with gentle acidity; very full, creamy mouthfeel. Richly cedar-framed finish with undertones of crisp chocolate and dried blueberry.","Produced by Tariku Mengesha from selections of indigenous landrace varieties of Arabica long grown in the region, and processed by the natural method (dried in the whole fruit). Jaunt Coffee Roasters is a San Diego-based roaster and café with an extensive coffee and food menu. Visit www.jauntcoffee.com for more information.","A blueberry bomb of a natural Yirgacheffe, with the berry notes supported by crisp chocolate and rich aromatic wood.Click here for more information about coffees from Ethiopia.","9.0,8.0,9.0,9.0,8.0"
https://www.coffeereview.com/review/tropical-summer-colombia-la-sierra/,Tropical Summer Colombia La Sierra,"La Sierra, Cauca Department, Colombia",93,Merge Coffee Company,9.0,9.0,8.0,9.0,8.0,"Fruit-driven, crisply chocolaty. Goji berry, dried plum, baking chocolate, amber, narcissus in aroma and cup. Crisply sweet structure with balanced acidity; lightly satiny mouthfeel. Fruit-toned finish supported by notes of baking chocolate.","Produced by smallholding farmers from trees of the Castillo, Caturra, Pajarito, Tabi and Bourbon varieties of Arabica, and processed by the traditional washed method using species of lactic acid-producing yeast and bacteria during the fermentation step. Merge is a specialty coffee roaster in Harrisonburg, Virginia dedicated to ethical sourcing of high-quality coffees. Visit www.mergecoffeeco.com for more information.","An experimentally processed Colombia, sweetly fruit-forward with ballast from crisp chocolate notes.","9.0,9.0,8.0,9.0,8.0"
https://www.coffeereview.com/review/festivity-blend-2/,Festivity Blend,Guatemala; Ethiopia; Colombia,92,Temple Coffee,8.0,8.0,9.0,9.0,8.0,"Richly sweet, nut-toned. Almond nougat, tangerine, cocoa powder, freesia-like flowers, oak in aroma and cup. Sweet-toned structure with brisk acidity; plush, satiny mouthfeel. Crisply nut-toned finish with undertones of cocoa-powder.","A blend of three coffees: a Guatemala and a Colombia, both washed-process, and a natural-processed Ethiopia. Temple Coffee is a quality-focused retail and wholesale specialty roaster active in Sacramento, California since 2005. Committed to sourcing, roasting and brewing the finest coffees, Temple features coffee from distinguished single estates and cooperatives around the world. Visit www.templecoffee.com or call 916-454-1282 for more information.",A sweetly nut-toned holiday blend with pleasing citrus and cocoa impulses.,"8.0,8.0,9.0,9.0,8.0"
