name,slug
Guatemala El Injerto Pacamara,https://www.coffeereview.com/review/guatemala-el-injerto-pacamara-3/
Honduras Roberto Figueroa,https://www.coffeereview.com/review/honduras-roberto-figueroa/
Guatemala Tojquia,https://www.coffeereview.com/review/guatemala-tojquia/
Guatemala Don Angel,https://www.coffeereview.com/review/guatemala-don-angel/
El Salvador La Lagunita,https://www.coffeereview.com/review/el-salvador-la-lagunita/
El Salvador Finca Santa Elena El Corzo Pacamara,https://www.coffeereview.com/review/el-salvador-finca-santa-elena-el-corzo-pacamara/
Panama Mama Cata Typica,https://www.coffeereview.com/review/panama-mama-cata-typica/
Guatemala Valentón,https://www.coffeereview.com/review/guatemala-valenton/
Nicaragua Jinotega Fincas Mierisch La Escondida Red Pacamara,https://www.coffeereview.com/review/nicaragua-jinotega-fincas-mierisch-la-escondida-red-pacamara/
Costa Rica Finca San Luis,https://www.coffeereview.com/review/costa-rica-finca-san-luis/
Colombia Finca Samboni Gesha Anaerobic Natural,https://www.coffeereview.com/review/colombia-finca-samboni-gesha-anaerobic-natural/
Colombia Tres Dragones,https://www.coffeereview.com/review/colombia-tres-dragones-2/
Rwanda Cyesha Natural,https://www.coffeereview.com/review/rwanda-cyesha-natural/
Ethiopia Guji Hambela Wate Natural G1,https://www.coffeereview.com/review/ethiopia-guji-hambela-wate-natural-g1/
Tinamit Tolimán,https://www.coffeereview.com/review/tinamit-toliman/
Finca Patzibir,https://www.coffeereview.com/review/finca-patzibir/
Proyecto Aurora,https://www.coffeereview.com/review/proyecto-aurora-2/
Finca El Potrero,https://www.coffeereview.com/review/finca-el-potrero/
Chacayá Santiago Atitlán,https://www.coffeereview.com/review/chacaya-santiago-atitlan/
Espresso No. 3,https://www.coffeereview.com/review/espresso-no-3/
Finca Santa Isabel,https://www.coffeereview.com/review/finca-santa-isabel-3/
Esperanza Villa Sarchi,https://www.coffeereview.com/review/esperanza-villa-sarchi-2/
5a Sur,https://www.coffeereview.com/review/5a-sur-3/
5a Poniente,https://www.coffeereview.com/review/5a-poniente-3/
Colombia Castillo Fruit Maceration Series (Passionfruit),https://www.coffeereview.com/review/colombia-castillo-fruit-maceration-series-passionfruit/
Colombia Castillo Fruit Maceration Series (Grape),https://www.coffeereview.com/review/colombia-castillo-fruit-maceration-series-grape/
Colombia Castillo Fruit Maceration Series (Strawberry),https://www.coffeereview.com/review/colombia-castillo-fruit-maceration-series-strawberry/
Balearic Beans,https://www.coffeereview.com/review/balearic-beans/
Colombia Castillo Fruit Maceration Series (Peach),https://www.coffeereview.com/review/colombia-castillo-fruit-maceration-series-peach/
El Triunfo Mexico,https://www.coffeereview.com/review/el-triunfo-mexico-2/
